0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.005609,0
0.024239,0.0072115
0.035056,0.057292
0.043069,0.11498
0.024239,0.10978
0.077724,0.23478
0.13782,0.30048
0.1853,0.14143
0.22256,0.094151
0.20753,0.17949
0.49119,0.23157
0.92548,0.47396
1.3371,0.8133
1.8139,1.1891
1.903,1.6346
1.6112,1.7568
1.2889,2.0433
0.94231,1.8878
0.65244,1.6775
0.29888,1.7556
0.14022,1.9447
0.091146,2.5333
0.073518,2.5505
0.044671,2.2123
0.034455,2.3213
0.030849,1.8738
0.016627,1.526
0.016226,1.4347
0.048678,1.4183
0.047276,1.4499
0.0092147,1.0921
0.005609,0.78446
0.022236,0.57532
0.01222,0.57252
0.01222,0.3746
0.027845,0.23317
0.027845,0.3137
0.011418,0.27604
0.0094151,0.11298
0.022837,0.080128
0.014223,0.14744
0.022236,0.11418
0.011418,0.05008
0.00080128,0.0072115
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
