1	218	12158	2.1014e+05
0	333	10647	2.1403e+05
1	310	9912.4	1.7524e+05
0	49	6136.3	1.4773e+05
0	148	8097.8	2.2582e+05
0	29	3887.2	1.1128e+05
0	113	6319.9	1.3222e+05
9	289	9405.4	1.4897e+05
0	398	12581	2.3163e+05
0	94	11795	2.8289e+05
0	167	7269.5	1.4255e+05
0	172	7349.1	1.8064e+05
0	4	2561.2	1.6349e+05
0	9	4436	1.4959e+05
0	133	7509.2	1.8103e+05
3	167	7421.5	1.9101e+05
0	85	8602.7	2.1294e+05
0	389	16356	1.8921e+05
0	166	10708	1.9196e+05
49	2544	28831	4.3282e+05
1	697	13805	1.8225e+05
8	871	13817	1.891e+05
0	399	14575	2.4644e+05
2	680	12745	2.436e+05
1	345	14010	2.6925e+05
0	135	8209	1.9999e+05
0	185	12272	2.9053e+05
0	228	12948	2.4776e+05
0	155	12720	2.8626e+05
0	169	10528	1.9571e+05
0	119	11077	2.6262e+05
10	601	16305	4.4032e+05
0	84	8220.2	2.2492e+05
1	437	12773	2.4931e+05
0	26	6294.4	2.7917e+05
0	42	8717.9	3.4279e+05
1	425	16835	3.8667e+05
0	380	14522	5.0742e+05
0	712	18590	4.3959e+05
