70.933,-8.667,11.882,10.261
77,15.5,10.062,8.7444
78.917,11.933,10.987,9.9759
78.246,15.466,13.921,11.527
69.293,16.144,19.341,17.585
69.6,17.833,19.677,18.234
69.056,18.54,20.128,19.332
69.683,18.919,18.65,18.215
74.517,19.017,16.456,12.644
70.25,19.5,17.68,16.888
69.787,20.959,19.912,18.539
69.017,23.067,19.908,18.679
69.976,23.372,20.709,19.314
70.683,23.683,19.142,17.991
71.1,23.983,19.004,17.135
70.069,24.973,21.079,19.669
76.5,25.067,11.43,9.1339
71.017,25.983,17.943,17.116
71.033,27.833,20.488,18.715
71.1,28.233,20.517,18.097
70.867,29.033,20.035,18.214
70.067,29.85,19.586,18.403
69.726,29.893,20.738,19.309
70.367,31.1,18.93,17.443
65.2,11,19.272,17.971
65.461,12.218,21.513,19.896
66.767,12.483,18.983,17.604
65.95,12.467,21.637,20.515
66.367,12.617,21.836,19.436
68.15,13.617,19.906,18.883
67.269,14.365,20.277,19.055
68.15,14.65,19.72,18.302
68.25,14.667,19.401,18.119
68.583,15.017,20.101,18.991
68.7,15.417,19.893,18.596
68.491,16.678,21.054,19.635
68.467,17.5,22.04,20.462
62.333,5.267,20.805,18.762
62.183,6.067,20.698,20.035
62.56,6.11,20.854,18.947
62.867,6.533,19.222,18.279
62.745,7.263,22.486,21.085
63.112,7.825,20.742,19.961
62.117,9.283,15.975,15.461
64.167,9.4,18.788,18.075
63.699,9.604,22.21,20.255
64.8,10.55,20.379,18.043
63.458,10.94,22.356,21.079
62.567,11.383,22.92,18.18
64.467,11.583,22.454,20.794
61.567,4.683,20.792,19.501
61.584,5.025,21.388,19.707
60.293,5.218,21.138,20.291
60.383,5.333,21.975,20.602
61.833,6.117,21.292,20.332
61.156,7.137,19.292,17.789
61.9,7.9,18.257,16.862
60.983,9.217,20.069,19.099
60.194,11.1,21.448,20.582
61.183,11.367,22.481,20.263
59.3,4.867,21.452,19.619
56.55,3.25,20.935,20.214
59.917,5.067,20.627,19.567
59.345,5.208,21.624,20.526
58.877,5.638,22.626,21.102
58.517,6.517,22.156,20.942
58.117,6.567,22.647,20.701
58.667,7.8,20.909,19.988
58.067,8.05,21.666,21.212
58.204,8.085,21.379,20.89
59.033,8.517,21.704,20.37
58.4,8.783,21.434,21.235
58.633,9.15,21.52,20.759
59.183,9.567,23.008,21.618
59.033,10.517,22.023,21.617
59.183,10.267,21.62,20.735
59.95,10.717,22.53,21.386
59.379,10.786,22.887,21.702
68.417,18.167,17.901,17.155
67.85,19.033,19.097,18.215
67.822,20.337,19.759,18.355
67.132,20.815,21.605,20.061
68.45,22.45,21.374,19.601
67.217,23.4,21.251,20.311
65.817,15.083,20.248,18.698
66.883,18.017,22.323,19.445
66.05,17.833,19.999,18.788
65,17.7,20.749,19.719
65.875,20.15,21.538,20.182
65.544,22.122,22.759,21
65.833,24.15,22.915,21.656
63.283,12.133,20.242,18.312
63.05,12.283,16.123,15.677
63.2,14.5,21.924,19.664
63.15,16.167,22.595,20.894
63.049,17.769,22.509,21.389
63.408,18.99,22.515,20.707
63.792,20.283,22.821,21.38
64.625,21.077,22.515,21.414
61.383,15.833,23.09,21.158
62.528,17.444,22.969,21.201
60.683,13.7,21.905,19.809
59.445,13.337,22.46,21.528
60.422,15.515,22.153,21.256
