0,9,211,2753,35288
0,16,261,2839,39928
2,15,240,2663,37762
0,3,109,1944,29793
0,7,266,3474,45224
0,8,87,2140,28577
0,11,230,2356,27839
0,8,188,2546,31455
0,8,222,3110,47089
0,1,231,3546,44629
1,6,232,2967,34663
0,12,307,3415,43691
0,8,141,2953,41540
0,1,164,2766,36717
1,13,328,3628,41954
0,7,222,3462,44499
2,10,255,3687,52715
1,15,418,3939,47851
0,5,273,3787,48924
0,75,756,7352,80562
0,25,464,3907,49267
0,28,437,4008,46829
0,17,427,4621,54437
0,19,440,4754,55780
1,19,447,4951,59651
0,13,308,3530,51706
0,4,304,4605,60487
0,29,482,4123,56179
1,28,363,4235,56170
0,43,350,3201,47880
3,23,327,4779,59860
1,36,516,6804,81183
0,20,394,4533,57501
6,40,498,4538,58799
0,13,261,4528,62474
0,7,330,5019,63435
0,29,531,5768,71714
1,14,549,7283,86883
4,83,759,6911,78518
